City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Baculin,PH,7.4525,126.5842,77.92,90,100,3.71,light rain
81,Lawrenceburg,US,38.0373,-84.8966,40.71,86,0,5.75,clear sky
82,Upernavik,GL,72.7868,-56.1549,8.76,90,100,5.68,overcast clouds
83,Padang,ID,-0.9492,100.3543,80.46,77,97,0.65,moderate rain
84,Veraval,IN,20.9,70.3667,88.97,46,36,19.17,scattered clouds
85,Bukachacha,RU,52.9833,116.9167,32.13,58,3,7.27,clear sky
86,Nikolskoye,RU,59.7035,30.7861,47.79,95,100,9.91,overcast clouds
87,Kodiak,US,57.79,-152.4072,26.11,59,0,6.91,clear sky
88,Victoria,HK,22.2855,114.1577,75.18,67,0,15.99,clear sky
89,Saldanha,ZA,-33.0117,17.9442,78.85,45,0,16.82,clear sky
90,Bluff,NZ,-46.6,168.3333,54.01,66,97,16.67,overcast clouds
91,Kapaa,US,22.0752,-159.319,73.47,81,40,17.27,scattered clouds
92,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,64,13.24,light rain
93,Grindavik,IS,63.8424,-22.4338,34.27,47,75,8.05,broken clouds
94,Fethiye,TR,36.6217,29.1164,69.67,55,3,7.54,clear sky
95,Tiksi,RU,71.6872,128.8694,-5.58,100,100,1.5,overcast clouds
96,Luanda,AO,-8.8368,13.2343,81.34,79,100,13.71,overcast clouds
97,Adrar,MR,20.5022,-10.0711,89.28,9,15,12.82,few clouds
98,Narsaq,GL,60.9167,-46.05,34.02,59,7,1.92,clear sky
99,Alofi,NU,-19.0595,-169.9187,78.69,89,66,5.75,broken clouds
100,Hovd,MN,48.0056,91.6419,55.74,34,54,16.78,broken clouds
101,Bambanglipuro,ID,-7.95,110.2833,77.99,81,100,1.07,overcast clouds
102,Manaquiri,BR,-3.3167,-60.35,81.05,81,44,3.62,scattered clouds
103,Tasiilaq,GL,65.6145,-37.6368,21.36,93,100,10.18,light snow
104,Barrow,US,71.2906,-156.7887,-5.78,84,20,8.05,few clouds
105,Geraldton,AU,-28.7667,114.6,70.21,68,40,8.05,scattered clouds
106,Calabozo,VE,8.9242,-67.4293,84.9,50,12,11.41,few clouds
107,Ballina,AU,-28.8667,153.5667,71.56,84,100,11.5,overcast clouds
108,Quesnel,CA,52.9999,-122.5029,46.9,57,100,2.3,overcast clouds
109,Hamilton,US,39.1834,-84.5333,41.74,80,40,9.22,scattered clouds
110,Atuona,PF,-9.8,-139.0333,79.43,74,84,17.16,broken clouds
111,Port-Cartier,CA,50.0334,-66.8654,35.82,94,100,18.3,overcast clouds
112,Tamiahua,MX,21.2667,-97.45,65.77,69,100,5.68,overcast clouds
113,Ornes,NO,66.8689,13.7078,34.18,63,100,10.18,overcast clouds
114,Kungurtug,RU,50.5994,97.5228,36.39,93,100,2.33,overcast clouds
115,Mahebourg,MU,-20.4081,57.7,79.25,94,75,14.97,broken clouds
116,Llanes,ES,43.4198,-4.7549,57.04,83,100,15.01,overcast clouds
117,Iwanai,JP,42.9744,140.5089,35.13,82,100,5.19,overcast clouds
