city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Qostanay,KZ,2022-04-03 15:26:33,53.1667,63.5833,39.7,86,100,13.85
67,Port Elizabeth,ZA,2022-04-03 15:26:34,-33.918,25.5701,71.1,91,75,13.8
68,Mayo,US,2022-04-03 15:26:34,38.8876,-76.5119,61.21,52,0,30.0
69,Puquio,PE,2022-04-03 15:26:34,-14.7,-74.1333,59.34,55,84,2.46
70,Atuona,PF,2022-04-03 15:26:35,-9.8,-139.0333,79.38,70,87,22.32
71,Masty,BY,2022-04-03 15:26:35,53.4122,24.5387,37.51,51,16,10.63
72,West Wendover,US,2022-04-03 15:26:35,40.7391,-114.0733,43.81,31,0,3.44
73,Westport,US,2022-04-03 15:26:36,41.1415,-73.3579,49.44,73,100,9.22
74,San Cristobal,VE,2022-04-03 15:26:36,7.7669,-72.225,77.18,62,100,6.55
75,Port Lincoln,AU,2022-04-03 15:26:37,-34.7333,135.8667,60.46,80,3,5.99
76,Katsuura,JP,2022-04-03 15:26:37,35.1333,140.3,50.02,70,100,21.0
77,Okhotsk,RU,2022-04-03 15:26:38,59.3833,143.3,18.16,89,100,8.05
78,Mandal,IN,2022-04-03 15:26:38,25.45,74.5667,87.03,9,1,10.58
79,Barrow,US,2022-04-03 15:26:38,71.2906,-156.7887,-7.58,71,100,12.66
80,Te Anau,NZ,2022-04-03 15:26:39,-45.4167,167.7167,47.62,82,63,0.65
81,Kavaratti,IN,2022-04-03 15:26:39,10.5669,72.642,82.89,72,73,7.52
82,Russell,US,2022-04-03 15:25:16,32.3502,-85.1999,68.97,44,0,8.05
83,Papetoai,PF,2022-04-03 15:26:40,-17.4961,-149.8729,76.59,79,23,5.44
84,Nome,US,2022-04-03 15:26:40,64.5011,-165.4064,8.67,56,0,8.05
85,Huarmey,PE,2022-04-03 15:26:41,-10.0681,-78.1522,72.93,76,69,8.14
86,Provideniya,RU,2022-04-03 15:26:42,64.3833,-173.3,2.05,74,0,10.27
87,Quetigny,FR,2022-04-03 15:26:42,47.3167,5.1167,42.53,60,100,9.22
88,Cherskiy,RU,2022-04-03 15:27:52,68.75,161.3,-3.87,99,100,4.45
89,Karratha,AU,2022-04-03 15:27:52,-20.7377,116.8463,83.16,69,0,11.36
90,Puerto Ayora,EC,2022-04-03 15:27:52,-0.7393,-90.3518,84.16,79,86,10.13
91,Bukama,CD,2022-04-03 15:27:53,-9.2,25.85,82.08,82,87,1.99
92,Qurayyat,SA,2022-04-03 15:27:53,31.3318,37.3428,89.78,6,0,16.11
93,Turukhansk,RU,2022-04-03 15:27:54,65.8167,87.9833,0.77,97,19,2.1
94,Chuy,UY,2022-04-03 15:27:54,-33.6971,-53.4616,73.47,64,100,11.68
95,Egvekinot,RU,2022-04-03 15:27:55,66.3167,-179.1667,-11.85,88,13,19.17
96,Saint George,US,2022-04-03 15:27:55,37.1041,-113.5841,62.26,37,75,3.44
97,Vao,NC,2022-04-03 15:27:55,-22.6667,167.4833,78.69,89,100,22.39
98,Faanui,PF,2022-04-03 15:27:56,-16.4833,-151.75,80.87,76,10,7.54
99,Thompson,CA,2022-04-03 15:27:56,55.7435,-97.8558,24.96,68,75,5.75
100,Tiksi,RU,2022-04-03 15:27:56,71.6872,128.8694,3.69,98,100,7.58
101,Kudligi,IN,2022-04-03 15:27:57,14.9,76.3833,89.4,19,54,3.85
102,Dustlik,UZ,2022-04-03 15:27:57,40.5247,68.0358,68.25,41,65,7.83
103,Umm Kaddadah,SD,2022-04-03 15:25:11,13.6017,26.6876,101.37,5,99,5.5
104,Kavieng,PG,2022-04-03 15:23:12,-2.5744,150.7967,81.37,79,92,7.38
105,Sandwick,GB,2022-04-03 15:27:58,60.0,-1.25,42.6,93,100,27.18
106,Tabuk,PH,2022-04-03 15:27:58,17.4189,121.4443,71.08,96,73,3.67
107,Ajdabiya,LY,2022-04-03 15:27:58,30.7554,20.2263,89.8,10,0,11.63
108,Pak Phanang,TH,2022-04-03 15:27:59,8.3511,100.202,78.39,83,100,7.61
109,Kayerkan,RU,2022-04-03 15:27:59,69.3497,87.7602,0.68,98,94,5.39
110,Mlonggo,ID,2022-04-03 15:28:00,-6.5333,110.7,78.44,86,100,7.38
111,Kodiak,US,2022-04-03 15:28:00,57.79,-152.4072,27.91,86,0,0.0
112,Tuatapere,NZ,2022-04-03 15:28:00,-46.1333,167.6833,48.4,92,57,2.95
113,Usagara,TZ,2022-04-03 15:28:01,-2.6833,33.0,78.39,55,62,5.03
114,Portland,US,2022-04-03 15:23:03,45.5234,-122.6762,45.84,87,100,6.91
115,Ribeira Grande,PT,2022-04-03 15:28:01,38.5167,-28.7,64.8,72,40,23.02
116,Klaksvik,FO,2022-04-03 15:28:02,62.2266,-6.589,47.32,98,100,18.79
117,Rutland,US,2022-04-03 15:25:04,43.6167,-73.0162,44.98,48,100,12.66
118,Morondava,MG,2022-04-03 15:28:02,-20.2833,44.2833,82.04,64,0,11.88
119,Noyabrsk,RU,2022-04-03 15:27:54,63.1994,75.4507,14.76,85,100,10.87
120,Viedma,AR,2022-04-03 15:28:03,-40.8135,-62.9967,48.42,70,100,11.43
121,Tura,IN,2022-04-03 15:28:03,25.5198,90.2201,72.0,88,3,5.12
122,Ilulissat,GL,2022-04-03 15:28:04,69.2167,-51.1,30.22,69,75,2.3
123,Svetlyy,RU,2022-04-03 15:28:04,54.675,20.1347,41.05,51,29,10.85
