City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
171,Harper,LR,86.36,overcast clouds,4.375,-7.7169,Screensaver
175,Kentau,KZ,68.58,overcast clouds,43.5206,68.5094,Safary
176,Machico,PT,68.0,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
177,Itarema,BR,82.78,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
178,Imbituba,BR,73.81,heavy intensity rain,-28.24,-48.6703,Praia Hotel Imbituba
183,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
190,Omboue,GA,85.77,light rain,-1.5746,9.2618,Hotel Olako
191,Pedernales,DO,80.2,scattered clouds,18.0384,-71.744,Hotel Costa Marina
192,Chuy,UY,72.34,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
194,Pringsewu,ID,76.14,overcast clouds,-5.3582,104.9744,Urban Style by Front One
195,Antofagasta,CL,66.99,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
196,Alyangula,AU,73.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
197,Tukrah,LY,65.43,clear sky,32.5341,20.5791,Lagrota restaurant
198,Caravelas,BR,83.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
203,Ganzhou,CN,69.76,clear sky,28.8184,115.4327,Zhanqian Grand Hotel
205,Siniscola,IT,72.95,few clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
209,Cabatuan,PH,74.53,overcast clouds,10.8794,122.486,MVC Transient Room
210,Tual,ID,84.34,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
212,Hirara,JP,70.77,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
215,Ubatuba,BR,79.23,scattered clouds,-23.4339,-45.0711,Hotel Coquille
216,Bose,IT,70.29,few clouds,45.4612,8.0137,Locanda Borgo Antico
218,Crotone,IT,73.35,clear sky,39.0851,17.1178,Helios Hotel
219,Payo,ID,72.46,overcast clouds,-3.7508,103.6372,Mess keban agung
222,Coahuayana,MX,66.18,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
223,Namatanai,PG,76.37,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
225,Balteni,RO,66.45,clear sky,46.6667,27.6167,Cabana Brodoc - Vaslui
226,Lompoc,US,65.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
227,Ugoofaaru,MV,85.32,scattered clouds,5.6667,73.0,Ungoofaaru Inn
231,Bonga,ET,83.44,overcast clouds,7.2833,36.2333,Abelena bare and restorant
232,Mantua,IT,73.09,overcast clouds,45.1667,10.7833,Hotel la Favorita
241,Manono,CD,84.02,light rain,-7.3,27.4167,Hotel hewa bora
246,Dingle,PH,75.15,light rain,10.9995,122.6711,SEGAYA PROPERTY
260,Mingguang,CN,68.11,clear sky,32.7802,117.9638,Yonghao Hotel
262,Kollam,IN,81.61,heavy intensity rain,8.8833,76.6,The Raviz Ashtamudi
264,Araguaina,BR,82.06,broken clouds,-7.1911,-48.2072,Hotel São Vicente
265,Itaituba,BR,82.56,scattered clouds,-4.2761,-55.9836,Hotel Campos
266,Ambilobe,MG,79.59,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
273,Nago,JP,70.65,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
274,Kieta,PG,79.16,light rain,-6.2167,155.6333,Uruna Bay Retreat
275,Salinopolis,BR,76.24,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
277,Buchanan,LR,86.11,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
279,Kumluca,TR,69.3,clear sky,36.3703,30.2869,TurkuazKöy
284,Chisec,GT,77.23,overcast clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
285,Namibe,AO,77.63,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
286,Lohardaga,IN,87.64,clear sky,23.4333,84.6833,Shorya Sweet Palace
288,Ipixuna,BR,80.02,broken clouds,-1.7625,-48.8043,Chalé do Mato
291,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
293,Pyapon,MM,83.48,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
294,Ormara,PK,84.42,few clouds,25.2088,64.6357,Kenara Colony house for Rent
297,Kasongo,CD,85.21,few clouds,-4.45,26.6667,Guest Hôtel
300,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
301,Itoman,JP,70.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
303,Molepolole,BW,73.54,overcast clouds,-24.4066,25.4951,Butterfly Tree Guesthouse
309,Teguise,ES,68.22,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
310,Abhar,IR,71.83,overcast clouds,36.1468,49.218,Hotel Got7
311,Basoko,CD,73.65,overcast clouds,1.2391,23.616,Jackyna Hotel
313,Faya,SA,82.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
319,Huaral,PE,69.64,broken clouds,-11.495,-77.2078,Hostal El Tiempo
324,Kenitra,MA,65.16,scattered clouds,34.261,-6.5802,Bienvenue chez vous
328,Izmir,TR,72.91,few clouds,38.4622,27.0923,Blue City Boutique Hotel
331,Balaguer,ES,69.15,few clouds,41.7912,0.8109,Hotel Balaguer
332,Mucurapo,TT,88.12,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
333,Kavaratti,IN,84.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
335,Kaputa,ZM,77.72,light rain,-8.4689,29.6619,Chelelwa Charlets
340,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
341,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
343,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
344,Carolina,PR,80.53,broken clouds,18.3808,-65.9574,Motel Fantasy Star
345,Beni,CD,71.19,light rain,0.5,29.4667,Albertine hotel
346,Kudahuvadhoo,MV,83.75,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
350,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
351,Matara,LK,79.47,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
354,Pasighat,IN,70.38,overcast clouds,28.0667,95.3333,Siang Guest House
355,Kanchanaburi,TH,81.95,overcast clouds,14.6333,99.1,แพบุญศรี
357,Gundlupet,IN,81.54,overcast clouds,11.8,76.6833,"1 BR Boutique stay in Melukamanahally, Chamrajnagar (4F3F), by GuestHouser"
358,Temecula,US,76.05,clear sky,33.4936,-117.1484,Embassy Suites by Hilton Temecula Valley Wine Country
359,Upington,ZA,80.98,clear sky,-28.4478,21.2561,River Place Manor
360,Hami,CN,76.53,broken clouds,42.8,93.45,Laoyutang Resort
361,Annau,TM,71.1,scattered clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
362,Galle,LK,80.8,overcast clouds,6.0367,80.217,Amangalla
364,Manokwari,ID,79.79,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
365,Tamandare,BR,83.77,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
366,Probolinggo,ID,77.4,overcast clouds,-7.7543,113.2159,Rumah Anggrek Syariah 1 RedPartner
369,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
373,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
382,Syracuse,IT,67.59,clear sky,37.0881,15.2792,Hotel Posta
383,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
386,Illapel,CL,70.61,clear sky,-31.6308,-71.1653,Hotel Londres
387,Karratha,AU,86.76,clear sky,-20.7377,116.8463,ibis Styles Karratha
389,Belmonte,BR,83.57,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
390,Muisne,EC,77.38,overcast clouds,0.6,-80.0333,Quinta Samay
391,Cacador,BR,65.57,overcast clouds,-26.7753,-51.015,Hotel Weber
392,Ixtapa,MX,67.23,few clouds,20.7,-105.2,hotel la terminal
397,Biak,ID,78.3,light rain,-0.9131,122.8766,Penginapan Kim
399,Tecoanapa,MX,76.46,scattered clouds,16.5167,-98.75,Hotel Manglares
400,Lubao,PH,78.87,broken clouds,14.9167,120.55,Hacienda Gracia
401,Coachella,US,73.54,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
402,Lashio,MM,73.9,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
404,Formosa,AR,69.78,light rain,-26.1775,-58.1781,Asterión Hotel
405,Acajutiba,BR,86.07,broken clouds,-11.6622,-38.0172,Recanto Da Lucinha
406,Kiama,AU,69.58,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
407,Boueni,YT,89.58,few clouds,-12.9025,45.0761,The feet in water
409,Meulaboh,ID,79.66,overcast clouds,4.1363,96.1285,Kost Pria
412,Vao,NC,78.66,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
416,Alfonsine,IT,75.18,overcast clouds,44.5061,12.0564,HOTEL LA CANTINA
419,Tupancireta,BR,67.33,scattered clouds,-29.0806,-53.8358,Hotel Cassino
423,Yashan,CN,72.88,few clouds,22.1975,109.9419,Xin Kaibin Guan
426,Gorgan,IR,66.16,overcast clouds,36.8387,54.4348,Khayyam Motel
433,Alexandria,EG,73.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
434,Sibolga,ID,77.99,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
437,Flinders,AU,69.39,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
442,Minab,IR,89.73,clear sky,27.1467,57.0801,Bam campground
443,Takoradi,GH,87.48,broken clouds,4.8845,-1.7554,Raybow International Hotel
446,Sambava,MG,81.07,light rain,-14.2667,50.1667,Melrose
449,Potchefstroom,ZA,70.02,light rain,-26.7167,27.1,Melrose Place Guestrooms
451,Reconquista,AR,70.14,clear sky,-29.15,-59.65,Grand Hotel
452,Alugan,PH,78.91,overcast clouds,12.2188,125.4808,JM Lodge
453,Samarai,PG,77.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
456,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
457,Vinh,VN,70.02,clear sky,18.6667,105.6667,Vuong Hoan 2
460,Hualmay,PE,68.0,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
461,Katobu,ID,76.15,overcast clouds,-4.9408,122.5276,La Ode Husein
463,Springbok,ZA,76.5,clear sky,-29.6643,17.8865,Undulata Country Lodge
465,Rocha,UY,70.54,clear sky,-34.4833,-54.3333,Hotel Arrarte
467,Camana,PE,69.87,broken clouds,-16.6228,-72.7111,Hostal Morales
468,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
473,Nicoya,CR,79.36,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
475,Gidam,IN,87.53,few clouds,18.9833,81.4,Dhanshree Lodge And DormItory
477,Camabatela,AO,82.06,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
478,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
479,Sumbe,AO,82.4,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
481,Georgiyevka,KZ,68.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
485,Asfi,MA,67.28,clear sky,32.2994,-9.2372,Hôtel Abda
486,Sayyan,YE,73.47,clear sky,15.1718,44.3244,ملاطف ابوحورية
492,Wanning,CN,69.49,broken clouds,18.8003,110.3967,Paradise Hotel
495,Corinth,GR,69.42,clear sky,37.9407,22.9573,Ephira Hotel
496,Caala,AO,74.73,light rain,-12.8525,15.5606,Adymuzik Oficial
499,Mollendo,PE,69.57,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
503,Mazatlan,MX,70.92,few clouds,23.2167,-106.4167,Hotel La Siesta
505,Kalangala,UG,78.15,scattered clouds,-0.3089,32.225,Ssese Habitat Resort
506,Piacabucu,BR,85.21,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
512,Batticaloa,LK,82.56,overcast clouds,7.7102,81.6924,Grand Star Guest House
525,Honiara,SB,78.42,overcast clouds,-9.4333,159.95,Heritage Park Hotel
526,Nachingwea,TZ,83.91,scattered clouds,-10.3833,38.7667,Makoga lodge
527,Ende,ID,79.66,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
529,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
531,Trairi,BR,80.29,light rain,-3.2778,-39.2689,janelas do mar
532,Aquidauana,BR,87.53,clear sky,-20.4711,-55.7872,HOTEL ARARAS
533,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
534,Mahon,ES,66.76,clear sky,39.8885,4.2658,ARTIEM Capri
535,Lithakia,GR,67.37,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
536,Tangzhai,CN,67.51,clear sky,34.4328,116.5911,Huilong Business Hotel
541,Tsabong,BW,79.86,overcast clouds,-26.0217,22.401,Springbok Motel
547,Axim,GH,86.88,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
548,Lichinga,MZ,73.49,thunderstorm with light rain,-13.3128,35.2406,Residencial Bendiak
549,Chaoyang,CN,68.31,broken clouds,41.5703,120.4586,Chaoyang Genting International Hotel
552,Sabang,ID,84.16,scattered clouds,5.8933,95.3214,Hotel Citra
559,Shancheng,CN,68.59,clear sky,34.7953,116.0817,Shanxian Golden Dragon Hotel
564,Pochutla,MX,75.02,few clouds,15.7432,-96.4661,Hotel Posada San Jose
566,Dwarka,IN,85.3,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
567,Iquique,CL,68.5,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
569,Redlands,US,74.34,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
571,Tabuk,PH,72.34,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
572,Carutapera,BR,75.34,moderate rain,-1.195,-46.02,Lidera
573,Vazante,BR,82.0,few clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
574,Inongo,CD,81.21,light rain,-1.95,18.2667,Hotel Du Lac
575,Kailua,US,74.61,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
577,Kalmunai,LK,81.0,broken clouds,7.4167,81.8167,VS Villa
584,Leninskoye,KZ,68.9,overcast clouds,41.7589,69.3864,Leonid Rakhmanov
587,Chirongui,YT,89.53,few clouds,-12.9319,45.1483,La Villa Mahatsara
592,Phalombe,MW,74.89,light rain,-15.8064,35.6507,RIVONIA
594,Manaure,CO,81.32,overcast clouds,11.7751,-72.4445,Hotel Palaaima
595,Mitsamiouli,KM,83.17,scattered clouds,-11.3847,43.2844,Foyer ADM
